co_num;co_name;co_title;co_region;co_career;co_education;co_salary;co_skill;co_work;co_prefer;co_dday;co_ceo;co_establish;co_type;co_employee;co_sector;co_website
1;라온시스템즈(주);[라온시스템즈] SW 개발자 채용 [C#/C++];경기 군포시;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c++, c#;UI/UX 개발 및 시스템 구축, SW 유지보수;전기/전자공학, 컴퓨터/시스템공학, 공학계열 전공자;2024.02.20;김태호;2012년 01월 02일;중소기업;31;기타 무선 통신장비 제조업;www.laonsys.co.kr
2;(주)픽소니어;응용SW 개발자(C++,C#)-대전;대전 유성구;신입, 경력;대졸(4년제) 이상;면접 후 결정;c++, c#;응용소프트웨어, 네트워크 통신 소프트웨어, 지도 처리 및 영상처리 소프트웨어 개발;전공: 공학계열, 자격증: 정보처리기사, 활동경험: 해당직무 인턴경력, 해당직무 근무경험;채용시 마감;윤종식;1992년 02월 26일;벤처기업;74;시스템 소프트웨어 개발 및 공급업;www.pixoneer.co.kr
3;인터켐코리아;윈도우 응용 프로그램 개발/Smart Facforty 솔루션 개발직;서울 강남구;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c++, c#;플랫폼 개발;일본어 가능자, 해외근무 가능자;2024.02.29;이주천;2004년 07월 01일;중소기업;40;시스템 소프트웨어 개발 및 공급업;www.intercam.co.kr
4;(주)투비원솔루션즈;C++ 프로그래밍 개발자 모집;서울 구로구;경력;학력 무관;면접 후 결정;c++;c++ 프로그래밍 개발;정보처리기사;2024.3.16;허권;2012년 12월 05일;중소기업;38;응용 소프트웨어 개발 및 공급업;www.2beone.net
5;(주)포딕스시스템;응용 소프트웨어 개발자(MFC, C++) 모집;서울 구로구;신입, 경력;학력 무관;면접 후 결정;c++;당사 솔루션 개발 및 응용소프트웨어 개발;관련학과 전공자;2024.02.15;정재호;2011년 02월 14일;중소기업;53;기타 반도체소자 제조업;www.fodics.com
6;(주)심네트;(대전) 개발자 신입 / 경력직 모집 (C/C++,C#);대전 유성구;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c++, c#;응용 소프트웨어 개발;프로그램 개발 관련 학원 수료, 국방 M&S 개발 유경험;2024.01.21;차진섭;1999년 03월 15일;중소기업;168;응용 소프트웨어 개발 및 공급업;www.simnet.co.kr
7;케이씨아이;(케이씨아이) S/W 개발자 모집;서울 구로구;신입, 경력;대졸(4년제) 이상;면접 후 결정;c++;통합 응용프로그램 및 GUI 개발;Linux 및 Realtime OS 개발 및 운영 경험자;채용시 마감;고현준;1982년 09월 20일;중소기업;51;응용 소프트웨어 개발 및 공급업;www.kcei.com
8;(주)제이이노텍;스마트팩토리 C# SW개발 엔지니어 모집 [서울/천안];서울 금천구;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c, c++;스마트팩토리 SW 개발;전기/전자공학, 컴퓨터/시스템공학, 해당직무 근무 경험;채용시 마감;류정식;2014년 11월 03일;중소기업;30;응용 소프트웨어 개발 및 공급업;www.j-innotech.com
9;이스트시큐리티;[ESTsecurity] C++ 서버 개발자 (신입/경력);서울 서초구;신입, 경력;학력 무관;면접 후 결정;c++;보안 제품 및 서버 개발;C++, MySQL, MariaDB, Linux 사용 경험자, 서버 프로그래밍 경험자;2024.03.10;정상원;2017년 01월 03일;중소기업;188;응용 소프트웨어 개발 및 공급업;www.estsecurity.com
10;비앤에프테크놀로지(주);소프트웨어(C++) 개발 모집 (신입/경력);대전 유성구;신입, 경력;대졸(2,3년제) 이상;연봉 3160만원;c++;플랜트 제어 및 감시 응용소프트웨어 개발;C++ / 리눅스 관련 개발 가능자, 정보처리기사 보유자;2024.02.02;서호준;2000년 11월 10일;중소기업;69;응용 소프트웨어 개발 및 공급업;www.bnftech.com
11;펨트론;기술연구소 개발자 채용_window 응용개발;서울 금천구;신입, 경력;대졸(2,3년제) 이상;회사내규에 따름;c++;응용 소프트웨어 개발;컴퓨터 시스템공학, 수학, 통계학, 물리;상시 채용;유영웅;2002년 01월 15일;중소기업;206;그 외 기타 특수목적용 기계 제조업;www.pemtron.com
12;젬텍(주);Linux 기반 C/C++ 개발 및 운영자 모집;서울 강남구;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c, c++;메시지(SMS/MMS) 발송 서버 개발 및 운영;Linux 사용 가능, 장기근무 가능, 정보처리기사, 네트워크 및 통신에 대한 기본 지식 보유;2024.02.12;이원필;2015년 11월 06일;중견기업;15;응용 소프트웨어 개발 및 공급업;www.gemtek.co.kr
13;(주)아세테크;부산지사[신입,경력] 물류자동화 S/W 개발자 모집;부산 해운대구;신입, 경력;학력 무관;면접 후 결정;c#;물류 자동화 소프트웨어 개발;C# 언어 능통자, 통신 프로그램 개발 경험자;2024.01.31;박종석;1996년 05월 06일;중소기업;81;응용 소프트웨어 개발 및 공급업;www.asetec.co.kr
14;시크릿타운(주);메타버스 서비스 관련 C/C++ 서버프로그래머 채용;서울 서초구;신입, 경력;학력 무관;면접 후 결정;c++;서버 프로그래밍 개발;Docker, 분산처리,NoSQL, 상용서비스, Boost asio, Modem C++ 사용 유경험자;2024.02.18;조현규;2014년 10월 22일;중소기업;51;컴퓨터 프로그래밍 서비스업;www.secrettown.co.kr
15;(주)피아이이;(주)피아이이이 신입/경력사원 공개채용;경기 화성시;신입, 경력;고졸 이상;면접 후 결정;c++, c#;비전 S/W Framework 개발;공학계열 전공자, C++ C# 개발 능력 보유;2024.01.26;최정일;2018년 07월 06일;중소기업;164;그 외 기타 특수목적용 기계 제조업;www.piegroup.co.kr
16;보은전자정보통신(주);S/W 개발자 신입 채용(윈도우, C#/WPF, C/C++, 연봉 3700만);서울 강서구;신입;학력 무관;연봉 3700만원;c, c++;PC 기반 SW제품 및 모바일 영상처리 앱 개발;안드로이드, iOS 앱 개발;2024.01.23;우영섭;1995년 08월 08일;벤처기업;25;응용 소프트웨어 개발 및 공급업;www.bon.co.kr
17;(주)벰소프트;S/W 개발자 채용 (경력자우대);부산 강서구;신입, 경력;고졸 이상;면접 후 결정;c, c++, c#;SW 분석 및 솔루션 연구, 이송로봇 관제 솔루션 관련 프로그래밍 및 시뮬레이션;경력자 우대, 알고리즘 설계 및 개발 가능자, 운전 가능자;채용시 마감;김정민;2017년 01월 13일;중소기업;23;시스템 소프트웨어 개발 및 공급업;www.bemsoft.com
18;(주)셀바스에이아이;[셀바스AI] C++ 개발 (검증 자동화 SW) - 신입/경력;서울 금천구;신입, 경력;대졸(4년제) 이상;면접 후 결정;c++;자동차 관련 검증 자동화 SW 개발;임베디드 관련개발 또는 프로젝트, MFC 개발, Android App개발 경험자, yocto, cmake 사용 가능자, 컴퓨터/시스템공학 관련 학위 보유자;2024.01.31;곽민철;1999년 03월 31일;중소기업;180;응용 소프트웨어 개발 및 공급업;www.selvasai.com
19;(주)에이블정보;C++ 서버/클라이언트 개발자;서울 서초구;경력;대졸(2,3년제) 이상;회사내규에 따름;c++, c#;c++ 서버프로그램 어플리케이션 개발;C++ 개발 경험이 있는 어플리케이션 개발자;상시 채용;전경용;2013년 01월 29일;중소기업;142;응용 소프트웨어 개발 및 공급업;www.ableinfo.co.kr
20;(주)나이콤;[신입/경력] S/W 개발자(.NET/C/C#/C++/JAVA) 인재 모집;경기 안양시;신입, 경력;학력 무관;면접 후 결정;c, c++, c#;c/c++ 기반 Window/Android APP, 장치 제어 및 GUI 개발;1개 이상 언어 능통자, 관련 학과 졸업자, 개발에 대한 전문 지식 및 알고리즘 이해도가 높은 분, 유관 부서와 원만한 소통 가능자;2024.01.26;김대영;2001년 08월 21일;중소기업;86;사무용 기계 및 장비 제조업;www.enicom.co.kr
21;(주)브레인즈랩;소프트웨어 개발직 채용;경남 진주시;신입, 경력;학력 무관;면접 후 결정;c#;무인기 관련 지상체 프로그램 개발, 배포 및 유지보수;UI/UX 개선 기획 경험자;2024.01.21;백한영;2019년 02월 27일;중소기업;8;유인 항공기, 항공우주선 및 보조장치 제조업;www.brainslab.kr
22;(주)인텔코리아;C#, C++, MFC (캐드 CAD / BIM / 게임) 개발자;서울 금천구;신입, 경력;학력 무관;면접 후 결정;c++, c#;CAD/BIM/게임 개발;컴퓨터/시스템공학, 수학/통계학, 정보처리기사, 영어가능자, 컴퓨터활용능력 우수, CAD/CAM능숙자, 이공계 석박사 졸업자;2024.02.07;박승훈;1995년 09월 13일;중소기업;35;응용 소프트웨어 개발 및 공급업;www.cadian.com
23;(주)디엠테크컨설팅;데이터 수집 S/W 개발자 채용(C++);경기 화성시;신입, 경력;학력 무관;면접 후 결정;c++;데이터 수집 SW 개발;SQL사용 경험자, 데이터 통신 프로토콜 가능자;상시 채용;황수정;2019년 11월 13일;중소기업;38;응용 소프트웨어 개발 및 공급업;www.스마트공장장.com
